 6.309 	 6.558 	 5.303 	 5.292 	 5.200 	 4.836 	 4.267
 4.961 	 4.682 	 4.258 	 3.888 	 3.687 	 3.984 	 3.646
 9.893 	 10.074 	 8.642 	 7.909 	 7.244 	 7.200 	 6.618
 3.759 	 3.456 	 2.919 	 3.005 	 3.039 	 2.888 	 2.661
 9.685 	 9.592 	 7.589 	 6.689 	 6.023 	 6.005 	 5.470
 8.228 	 8.446 	 6.553 	 6.441 	 6.206 	 6.158 	 5.230
 3.308 	 3.246 	 2.641 	 2.837 	 2.678 	 2.808 	 2.390
 3.354 	 2.855 	 2.422 	 2.595 	 2.312 	 2.535 	 2.281
 2.326 	 1.805 	 1.445 	 1.367 	 1.398 	 1.206 	 0.994
 3.034 	 2.475 	 2.014 	 2.379 	 1.931 	 1.938 	 1.779
 2.419 	 2.856 	 2.581 	 2.651 	 2.730 	 2.864 	 2.331
 5.609 	 5.523 	 4.826 	 5.250 	 4.767 	 7.076 	 3.825
 3.650 	 3.173 	 2.653 	 2.928 	 2.697 	 2.744 	 2.332
 2.836 	 3.195 	 2.686 	 2.655 	 2.662 	 2.885 	 2.778
 2.925 	 2.849 	 2.374 	 2.329 	 2.437 	 2.425 	 2.117
 2.738 	 2.132 	 1.658 	 1.507 	 1.355 	 1.324 	 1.195
 1.587 	 1.141 	 1.000 	 0.904 	 0.854 	 0.863 	 0.684
 16.611 	 15.786 	 12.131 	 11.804 	 10.853 	 8.749 	 7.987
 2.584 	 2.435 	 1.462 	 1.355 	 1.359 	 1.304 	 1.012
 2.081 	 2.417 	 1.798 	 2.094 	 1.606 	 1.490 	 1.576
 12.502 	 14.221 	 11.167 	 10.565 	 9.131 	 7.472 	 7.223
 2.032 	 1.363 	 1.097 	 1.094 	 1.025 	 0.885 	 0.645
 2.121 	 1.670 	 1.454 	 2.056 	 1.500 	 1.449 	 1.034
 5.139 	 5.888 	 4.143 	 5.118 	 4.714 	 3.784 	 3.307
 7.304 	 7.067 	 5.012 	 5.976 	 6.298 	 6.852 	 4.814
 1.030 	 0.701 	 0.511 	 0.566 	 0.462 	 0.512 	 0.419
 0.547 	 0.331 	 0.278 	 0.306 	 0.234 	 0.204 	 0.183
 1.602 	 2.356 	 2.331 	 2.877 	 2.418 	 2.553 	 2.134
 1.333 	 0.990 	 0.714 	 0.660 	 0.627 	 0.635 	 0.534
 59.903 	 37.340 	 70.754 	 35.849 	 27.305 	 25.283 	 15.940
 1.655 	 1.156 	 1.003 	 0.988 	 0.784 	 0.863 	 0.765
